city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
178,Derzhavinsk,KZ,51.1,66.3167,1.81,83,6,3.24,clear sky
179,Duluth,US,46.7833,-92.1066,30.78,92,100,9.22,mist
180,Ferrol,ES,43.4832,-8.2369,48.72,86,100,5.3,overcast clouds
181,Falun,SE,60.6036,15.626,19.94,90,100,7.47,overcast clouds
182,Goderich,CA,43.7501,-81.7165,34.12,80,100,11.5,snow
183,Vao,NC,-22.6667,167.4833,77.85,67,0,8.08,clear sky
184,Walvis Bay,NA,-22.9575,14.5053,66.09,94,70,3.44,broken clouds
185,Bonthe,SL,7.5264,-12.505,77.58,83,2,5.59,clear sky
186,Trairi,BR,-3.2778,-39.2689,78.85,77,23,9.17,few clouds
187,Pindobacu,BR,-10.7417,-40.3608,76.03,70,100,2.26,overcast clouds
188,Tieli,CN,46.95,128.05,-4.85,88,90,5.55,overcast clouds
189,Shelburne,CA,44.0787,-80.2041,30.65,95,100,4.94,overcast clouds
190,Killarney,IE,52.05,-9.5167,38.79,98,100,3.87,overcast clouds
191,Santa Ana,US,33.7456,-117.8678,61.93,30,3,1.01,clear sky
192,Brownsville,US,25.9018,-97.4975,69.91,87,100,8.43,overcast clouds
193,Klaksvik,FO,62.2266,-6.589,29.32,94,100,33.84,snow
194,Port-Cartier,CA,50.0334,-66.8654,26.82,94,100,16.22,light snow
195,Talaya,RU,61.3833,152.75,-21.55,98,100,6.11,light snow
196,Tumbagaan,PH,5.3656,120.3139,82.09,77,50,7.07,scattered clouds
197,Champua,IN,22.0833,85.6667,65.61,35,9,3.06,clear sky
198,Port Augusta,AU,-32.5,137.7667,85.91,17,48,13.09,scattered clouds
199,Tema,GH,5.667,-0.0166,81.01,89,75,8.05,light rain
200,Orotukan,RU,62.2667,151.7,-22.27,98,98,3.87,overcast clouds
201,Kandi,BJ,11.1342,2.9386,71.22,22,83,5.08,broken clouds
202,Shagonar,RU,51.5333,92.8,-20.31,98,83,3.49,broken clouds
203,Yokadouma,CM,3.5167,15.05,67.33,92,55,1.52,broken clouds
204,Yaroslavl,RU,57.6299,39.8737,21.0,79,100,2.24,overcast clouds
205,Kerema,PG,-7.9631,145.7785,83.75,72,94,8.03,moderate rain
206,Chacabuco,AR,-34.6417,-60.4739,62.98,61,3,13.33,clear sky
207,Khiri Mat,TH,16.8333,99.8,71.64,63,61,5.03,broken clouds
208,Young,UY,-32.6833,-57.6333,61.54,50,5,15.26,clear sky
209,Touros,BR,-5.1989,-35.4608,77.54,77,5,11.27,clear sky
210,Esperance,AU,-33.8667,121.9,67.91,59,89,17.34,overcast clouds
211,Ucluelet,CA,48.9329,-125.5528,39.78,84,55,2.55,broken clouds
212,Aranos,NA,-24.1333,19.1167,62.96,62,1,10.71,clear sky
213,Kieta,PG,-6.2167,155.6333,83.55,76,96,3.56,light rain
214,Faanui,PF,-16.4833,-151.75,79.88,78,100,11.25,light rain
215,Thohoyandou,ZA,-22.9456,30.485,69.46,87,100,2.01,overcast clouds
216,Kaili,ID,-3.4626,120.2147,77.61,73,88,3.74,overcast clouds
217,Payo,ID,-3.7508,103.6372,84.56,70,100,1.25,overcast clouds
218,Karratha,AU,-20.7377,116.8463,92.17,34,0,7.34,clear sky
219,Lufilufi,WS,-13.8745,-171.5986,80.38,93,100,16.31,heavy intensity rain
220,Tocopilla,CL,-22.092,-70.1979,67.1,72,17,1.05,few clouds
221,Richards Bay,ZA,-28.783,32.0377,73.96,93,95,6.55,overcast clouds
222,Penzance,GB,50.1186,-5.5371,32.68,60,100,11.03,overcast clouds
223,Hamilton,US,39.1834,-84.5333,35.24,65,89,5.01,overcast clouds
224,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.97,27,3,7.2,clear sky
